Card,Status,Text
Class Struggle,LAW,For: When players receive Trade Goods from the Trade Strategy Card|| all Trade Goods are added together and distributed equally to each player who will receive at least 1; Excess are lostAgainst: Each player immediately loses 2 Trade Goods
Defend the Jewel,,For: Immediately place 1 Space Mine (which does not belong to any player) in the Mecatol Rex systemAgainst: Each player can place 1 Space Mine (under their control) in their home system
Diversified Income,LAW,For: Players may not have more Trade Goods than the total number of Planets they ownAgainst: Each player without a Trade Good immediately receives 3 Trade Goods
Emperor,LAW,Elect PlayerGive that player this card. The elected player immediately gains 1 Victory Point. If they lose this card (e.g. Repeal or Revote) they immediately lose 1 Victory Point
Enemy of the Throne,LAW,Elect PlayerIf a player wins a Space Combat against that player|| the attacker acquires 2 Trade Goods|| 1 Command Counter and 1 Action Card. This card is then discarded
Fighter Tax,LAW,For: Fighters now cost 1 resource eachAgainst: Each player must destroy 3 of their fighters
Fleet Restrictions,LAW,For: Players may never have more than 2 ships of the same type in 1 system (excluding Fighters)Against: For each system where a player has more than 2 ships of the same type|| the owner must immediately pay 1 Trade Good or destroy all surplus ships
Forbidden Research,LAW,Elect playerThe elected player may not acquire any new technologies the next time the Technology Strategy is activated. Then discard this card.
Glory of the Empire,LAW,For: From now on|| any player who completes their Secret Objective gains 1 extra Victory PointAgainst: Any player who has already completed their Secret Objective immediately gains 1 Victory Point
Hope’s End Training Ground,,"For: A player controlling Hope's End may immediately place 1 Ground Force and 2 Shock Troops thereAgainst: All Shock Troops in the game are replaced with Ground Forces
Discard this agenda and draw a new one if the Hope's End system is not in play"
Incentive Program,LAW,"Elect Public ObjectiveEach player who has already completed that objective immediately gains 1 Victory Point
Players who will meet that objective in the future receive 1 more Victory Point than indicated on that Objective card"
Intergalactic Commerce,,For: Any system with a wormhole that contains ships immediately gives the owner 3 Trade GoodsAgainst: The value of each Trade Agreement is reduced by 1 for the remainder of this round
Interstellar Arms Dealers,,For: Players may pay 3 resources to immediately receive 1 Destroyer and 1 Dreadnought. These ships must be placed in any system containing a friendly Space DockAgainst: The price of all ships (except Fighters) is increased by 1 resource for the remainder of this round
Investigate Spatial Anomalies,LAW,For: Ion Storms and Nebulae no longer affect the movement of ShipsAgainst: No special systems (red borders) can be entered until the end of this round
Minister of Peace,LAW,Elect PlayerGive this card to the elected player. They may discard this card at any time to cancel the movement of a fleet into a system containing an enemy fleet (as long as the elected player does not control either fleet). The target system is still activated by the attacker
Mutiny,,"For: Each player who voted ""For"" this agenda gains 1 VictoryAgainst: Each player who voted ""Against"" this agenda loses 1 Victory Point"
Neutrality Pact,LAW,For: No player may activate a planetless system that contains enemy ships unless they spend 3 influenceAgainst: Each player must place a Command Counter from their reinforcements on one of their inactivated systems containing a Space Dock
Non-Aggression Pact,LAW,For: The first player to activate a system containing an enemy ship loses 1 Victory Point. Then|| discard this lawAgainst: Draw 1 card from the top of the Objective Deck and place it face up in the Common area
Open the Trade Routes(Replaces card of the same name in Base Game),,For: Each player receives 2 Trade GoodsAgainst: This game round|| each player must give all of the Trade Goods they receive to the player on their left
Political Focus,LAW,For: When a player chooses the Political Strategy Card|| they immediately gain 1 Command Counter or 2 Trade GoodsAgainst: Draw the top card of the Political Deck and immediately resolve its agenda
Recognize Accomplishments,,Select Public ObjectiveRemove all Control Markers from the Selected Public Objective. Players who have already completed that objective may fulfill it again. Those players do not lose any points and follow the usual rules when re-completing the goal
Redefining War Crimes,LAW,For: When a player fires their PDS at their opponent's fleet|| they must terminate any Trade Agreements with that playerAgainst: Players cannot use their PDS units this round except to defend during Planetary Invasions
Seed of an Empire,,For: The player(s) with the most Victory Points gain 1 Victory PointAgainst: The player(s) with the least Victory Points gain 1 Victory Point
Sharing of Technology,LAW,For: Any player who has at least 1 Trade Agreement can immediately gain 1 Technology advance obtained by one of their trading partners (ignoring prerequisites)Against: All Trade Agreements are terminated
Technological Jihad,LAW,For: Each time a player obtains Technological advances|| they must roll a dice. On a 9 or 10 they must destroy one of their Cruisers or DestroyersAgainst: Each player must exhaust 1 planet for every non-starting Technology advance they have
The Crown of Emphidia,LAW,"Elect PlayerGive this card to the elected player. That player immediately gains 1 Victory Point.
Any other player who wins an Invasion Combat against the owner of this card immediately claims this card and obtains 1 Victory Point.
If a player ever loses this card|| they lose 1 Victory Point"
Unconventional Measures,,For: Each player may draw 1 Action CardAgainst: All players must immediately discard all their Action Cards
Veto Power,LAW,Elect playerGive this card to the elected player. That player may discard this card at any time to discard any law immediately after it has been voted on. The law is discarded without effect
Vorhal Peace Prize,LAW,For: The player(s) with the smallest fleet supply acquire 1 additional Command Counter during each Status PhaseAgainst: The player(s) with the smallest fleet supply immediately acquire 3 Trade Goods
